ano;inep_id;dependencia_id;localizacao_id;ef_1ano;ef_2ano;ef_3ano;ef_4ano;ef_5ano;ef_6ano;ef_7ano;ef_8ano;ef_9ano;ef_total_ai;ef_total_af;ef_total;em_1ano;em_2ano;em_3ano;em_4ano;em_total
2007;35010273;2;1;0;0;0;0;0;10.6;13.6;18;23.2;0;16.5;16.5;20.8;21.3;31.6;0;24
2007;35010285;2;1;0;0;0;0;0;2.1;5.3;9;8.3;0;5.9;5.9;35;24.1;36.1;0;31.8
2007;35035403;2;1;0;0;0;0;0;9.9;9.2;8.1;12.9;0;10.2;10.2;13.8;16.6;10.9;0;13.9
2007;35040708;2;1;0;0;0;0;0;2.5;1.3;2.6;4.5;0;2.9;2.9;8.6;7.3;0;0;6.1
2007;35044878;2;1;0;0;4.6;5.9;12.3;21.3;16.7;18.6;9.5;6.5;17.1;11.9;9.1;17.9;5.6;0;11.4
2007;35046536;2;1;0;0.7;0.7;0.8;2.2;0;0;0;0;1.1;0;1.1;0;0;0;0;0
2007;35046541;2;1;0;0.5;1.4;1.6;2;0;0;0;0;1.4;0;1.4;0;0;0;0;0
2007;35049086;2;1;0;0;0;0;5.9;14.3;11.3;7;12.1;1.7;10.9;7.5;30.6;31.8;25.4;0;29.6
2007;35075152;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2007;35075164;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2007;35075176;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2007;35076405;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2007;35106793;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2007;35106963;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2007;35121551;4;1;5.9;0;0;0;0;7.1;18.8;0;33.3;2;10.6;6.2;0;4.3;16.7;0;4.7
2007;35121691;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2007;35125349;4;1;6.7;0;0;0;0;0;0;0;4.8;1.6;1.3;1.4;0;0;14.3;0;3.3
2007;35132688;4;2;0;3;0;9.6;6.3;9.8;14.8;8.8;21.7;5.1;13.5;9.3;0;0;0;0;0
2007;35137741;4;2;5.9;3.8;11.5;0;4.1;0;0;0;0;5;0;5;0;0;0;0;0
2007;35144770;4;1;0;0;0;0;0;3.5;2.6;6.9;0;0;3.1;3.1;4.8;2.8;0;0;2.5
2007;35206805;3;1;0;0;7;6.2;11.3;0;0;0;0;3.9;0;3.9;0;0;0;0;0
2007;35236263;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2007;35247236;3;2;0;14.3;0;0;33.3;0;0;0;0;5.1;0;5.1;0;0;0;0;0
2007;35277836;3;1;0;3;5.1;9.1;10.4;18.2;3;11.1;11.5;5.3;10.9;7.4;0;0;0;0;0
2007;35277848;3;1;0;3.7;3.1;7.2;18.7;0;0;0;0;6.7;0;6.7;0;0;0;0;0
2007;35277859;3;1;0;7.5;6.4;0;7.4;0;0;0;0;4.3;0;4.3;0;0;0;0;0
2007;35277861;3;1;0;0;0;7.7;11.1;0;0;0;0;3.2;0;3.2;0;0;0;0;0
2007;35282424;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2007;35285742;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2007;35285754;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2007;35287097;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2007;35288081;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2007;35301413;3;1;0;0;0;0;12.5;0;0;0;0;2.4;0;2.4;0;0;0;0;0
2007;35643282;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2007;35643312;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
