Ano;NOME;Métrica;Valor
2020;ALUNO-1;INSTITUICAO_ENSINO_ALUNO;Escola Pública
2020;ALUNO-1;IDADE_ALUNO;11
2020;ALUNO-1;ANOS_PM;2
2020;ALUNO-1;FASE_TURMA;2H
2020;ALUNO-1;PONTO_VIRADA;Não
2020;ALUNO-1;INDE;7.883752
2020;ALUNO-1;INDE_CONCEITO;B
2020;ALUNO-1;PEDRA;Ametista
2020;ALUNO-1;DESTAQUE_IEG;Seu destaque em 2020: A sua boa entrega das lições de casa.
2020;ALUNO-1;DESTAQUE_IDA;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
2020;ALUNO-1;DESTAQUE_IPV;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
2020;ALUNO-1;IAA;8.500020000000001
2020;ALUNO-1;IEG;8.7
2020;ALUNO-1;IPS;7.5
2020;ALUNO-1;IDA;7
2020;ALUNO-1;IPP;5.9375
2020;ALUNO-1;IPV;7.75
2020;ALUNO-1;IAN;10
2020;ALUNO-1;FASE_2021;2.0
2020;ALUNO-3;INSTITUICAO_ENSINO_ALUNO;Escola Pública
2020;ALUNO-3;IDADE_ALUNO;12
2020;ALUNO-3;ANOS_PM;2
2020;ALUNO-3;FASE_TURMA;3H
2020;ALUNO-3;PONTO_VIRADA;Não
2020;ALUNO-3;INDE;7.856389666666666
2020;ALUNO-3;INDE_CONCEITO;B
2020;ALUNO-3;PEDRA;Ametista
2020;ALUNO-3;DESTAQUE_IEG;Seu destaque em 2020: A sua boa entrega das lições de casa.
2020;ALUNO-3;DESTAQUE_IDA;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
2020;ALUNO-3;DESTAQUE_IPV;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
2020;ALUNO-3;IAA;7.91667
2020;ALUNO-3;IEG;8.9
2020;ALUNO-3;IPS;7.5
2020;ALUNO-3;IDA;5.5
2020;ALUNO-3;IPP;8.125
2020;ALUNO-3;IPV;8.111113333333334
2020;ALUNO-3;IAN;10
2020;ALUNO-3;FASE_2021;3.0
2020;ALUNO-4;INSTITUICAO_ENSINO_ALUNO;Escola Pública
2020;ALUNO-4;IDADE_ALUNO;10
2020;ALUNO-4;ANOS_PM;2
2020;ALUNO-4;FASE_TURMA;1D
2020;ALUNO-4;PONTO_VIRADA;Não
2020;ALUNO-4;INDE;5.076252
2020;ALUNO-4;INDE_CONCEITO;D
2020;ALUNO-4;PEDRA;Quartzo
2020;ALUNO-4;DESTAQUE_IEG;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.
2020;ALUNO-4;DESTAQUE_IDA;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
2020;ALUNO-4;DESTAQUE_IPV;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
2020;ALUNO-4;IAA;8.000020000000001
2020;ALUNO-4;IEG;4.1
2020;ALUNO-4;IPS;6.875
2020;ALUNO-4;IDA;0
2020;ALUNO-4;IPP;7.1875
2020;ALUNO-4;IPV;7.75
2020;ALUNO-4;IAN;5
2020;ALUNO-5;INSTITUICAO_ENSINO_ALUNO;Escola Pública
2020;ALUNO-5;IDADE_ALUNO;10
2020;ALUNO-5;ANOS_PM;1
2020;ALUNO-5;FASE_TURMA;2M
2020;ALUNO-5;PONTO_VIRADA;Não
2020;ALUNO-5;INDE;8.077085
2020;ALUNO-5;INDE_CONCEITO;B
2020;ALUNO-5;PEDRA;Ametista
2020;ALUNO-5;DESTAQUE_IEG;Seu destaque em 2020: A sua boa entrega das lições de casa.
2020;ALUNO-5;DESTAQUE_IDA;Seu destaque em 2020: As suas boas notas na Passos Mágicos.
2020;ALUNO-5;DESTAQUE_IPV;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
2020;ALUNO-5;IAA;7.50002
2020;ALUNO-5;IEG;8
2020;ALUNO-5;IPS;7.5
2020;ALUNO-5;IDA;7.5
2020;ALUNO-5;IPP;8.4375
2020;ALUNO-5;IPV;8.166665
2020;ALUNO-5;IAN;10
2020;ALUNO-5;FASE_2021;2.0
2020;ALUNO-8;INSTITUICAO_ENSINO_ALUNO;Rede Decisão/União
2020;ALUNO-8;IDADE_ALUNO;14
2020;ALUNO-8;ANOS_PM;3
2020;ALUNO-8;FASE_TURMA;4L
2020;ALUNO-8;PONTO_VIRADA;Sim
2020;ALUNO-8;INDE;8.381390666666666
2020;ALUNO-8;INDE_CONCEITO;B
2020;ALUNO-8;PEDRA;Ametista
2020;ALUNO-8;DESTAQUE_IEG;Seu destaque em 2020: A sua boa entrega das lições de casa.
2020;ALUNO-8;DESTAQUE_IDA;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
2020;ALUNO-8;DESTAQUE_IPV;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
2020;ALUNO-8;IAA;8.33334
2020;ALUNO-8;IEG;9.9
2020;ALUNO-8;IPS;4.375
2020;ALUNO-8;IDA;7.333333333333333
2020;ALUNO-8;IPP;8.749999999999998
2020;ALUNO-8;IPV;8.94445
2020;ALUNO-8;IAN;10
2020;ALUNO-8;FASE_2021;5.0
2020;ALUNO-10;INSTITUICAO_ENSINO_ALUNO;Escola Pública
2020;ALUNO-10;IDADE_ALUNO;13
2020;ALUNO-10;ANOS_PM;1
2020;ALUNO-10;FASE_TURMA;3B
2020;ALUNO-10;PONTO_VIRADA;Não
2020;ALUNO-10;INDE;5.1618745
2020;ALUNO-10;INDE_CONCEITO;D
2020;ALUNO-10;PEDRA;Quartzo
2020;ALUNO-10;DESTAQUE_IEG;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.
2020;ALUNO-10;DESTAQUE_IDA;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
2020;ALUNO-10;DESTAQUE_IPV;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
2020;ALUNO-10;IAA;5.83333
2020;ALUNO-10;IEG;5.2
2020;ALUNO-10;IPS;3.75
2020;ALUNO-10;IDA;0
2020;ALUNO-10;IPP;7.96875
2020;ALUNO-10;IPV;6.8333325
2020;ALUNO-10;IAN;10
2020;ALUNO-11;INSTITUICAO_ENSINO_ALUNO;Escola Pública
2020;ALUNO-11;IDADE_ALUNO;8
2020;ALUNO-11;ANOS_PM;0
2020;ALUNO-11;FASE_TURMA;0A
2020;ALUNO-11;PONTO_VIRADA;Sim
2020;ALUNO-11;INDE;9.712504000000001
2020;ALUNO-11;INDE_CONCEITO;A
2020;ALUNO-11;PEDRA;Topázio
2020;ALUNO-11;DESTAQUE_IEG;Seu destaque em 2020: A sua boa entrega das lições de casa.
2020;ALUNO-11;DESTAQUE_IDA;Seu destaque em 2020: As suas boas notas na Passos Mágicos.
2020;ALUNO-11;DESTAQUE_IPV;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
2020;ALUNO-11;IAA;9.000020000000001
2020;ALUNO-11;IEG;10
2020;ALUNO-11;IPS;8.125
2020;ALUNO-11;IDA;10
2020;ALUNO-11;IPP;10
2020;ALUNO-11;IPV;10.00001
2020;ALUNO-11;IAN;10
2020;ALUNO-11;FASE_2021;1.0
2020;ALUNO-12;INSTITUICAO_ENSINO_ALUNO;Rede Decisão/União
2020;ALUNO-12;IDADE_ALUNO;14
2020;ALUNO-12;ANOS_PM;3
2020;ALUNO-12;FASE_TURMA;3G
2020;ALUNO-12;PONTO_VIRADA;Não
2020;ALUNO-12;INDE;5.838887333333334
2020;ALUNO-12;INDE_CONCEITO;D
2020;ALUNO-12;PEDRA;Quartzo
2020;ALUNO-12;DESTAQUE_IEG;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.
2020;ALUNO-12;DESTAQUE_IDA;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.
2020;ALUNO-12;DESTAQUE_IPV;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
2020;ALUNO-12;IAA;6.25
2020;ALUNO-12;IEG;6
