inep_id;dependencia_id;ciclo_id;ano;ideb;fluxo;aprendizado;nota_mt;nota_lp
35010273;2;AF;2017;5,3;1;5,2587;255,18;260,34
35010273;2;EM;2017;4,4;0,9847;4,4834;269,69;267,61
35010285;2;AF;2017;5,4;0,9985;5,4428;259,2;267,37
35010285;2;EM;2017;0;0,9709;0;0;0
35035403;2;AF;2017;5,3;0,961;5,4837;266,98;262,04
35035403;2;EM;2017;0;0,853;0;0;0
35040708;2;AF;2017;5,3;0,979;5,3778;259,79;262,88
35040708;2;EM;2017;4,8;0,9616;5,0268;287,87;286,85
35044878;2;AI;2017;0;0;0;0;0
35044878;2;AF;2017;4,9;0,9914;4,978;249,25;249,43
35044878;2;EM;2017;4,1;0,9474;4,3778;269,19;261,02
35046536;2;AI;2017;7,2;1;7,1795;253,94;240,31
35046541;2;AI;2017;6,8;1;6,8105;242,78;231,73
35049086;2;AI;2017;6,9;1;6,8513;244,39;232,28
35049086;2;AF;2017;4,7;0,9957;4,713;242,87;239,91
35049086;2;EM;2017;0;0,9642;0;0;0
35107372;3;AI;2017;0;0;0;0;0
35206805;3;AI;2017;6,5;0,9984;6,4706;233,83;222,43
35277836;3;AI;2017;6,2;1;6,1977;224,72;216,98
35277836;3;AF;2017;5,4;1;5,3585;254,48;267,03
35277848;3;AI;2017;5,6;0,9876;5,6842;210,61;203,55
35277859;3;AI;2017;0;0,9947;0;0;0
35277861;3;AI;2017;0;0;0;0;0
35285754;3;AI;2017;5,8;0,9722;6,001;222,35;208,65
35301413;3;AI;2017;5,2;0,9756;5,2887;204,03;188,7
35659137;3;AI;2017;0;1;0;0;0
35659137;3;AF;2017;4,6;0,9602;4,7925;233,03;254,52
35664224;3;AI;2017;6,3;1;6,2763;236,85;208,57
35902160;2;AF;2017;4,4;0,9873;4,433;230,88;235,1
35902160;2;EM;2017;0;0,9035;0;0;0
35904181;2;AF;2017;5;0,9744;5,1222;251,11;256,22
35904181;2;EM;2017;3,7;0,8361;4,3916;267,46;263,57
35904193;2;AI;2017;6,2;0,9914;6,2412;232,02;211,71
35904193;2;AF;2017;0;0,996;0;0;0
35912402;2;AI;2017;0;1;0;0;0
35914782;2;AF;2017;0;0,9389;0;0;0
35914782;2;EM;2017;3,2;0,7918;3,9908;247,93;255,12
35914848;2;AI;2017;6,2;0,9858;6,2446;231,42;212,53
35914848;2;AF;2017;0;0,9519;0;0;0
35914848;2;EM;2017;3,3;0,9729;3,4215;241,04;223,55
35917084;2;AI;2017;6,6;1;6,6447;242,94;222,44
35918672;2;AI;2017;0;0;0;0;0
35918672;2;AF;2017;0;0,9846;0;0;0
35918817;2;AI;2017;0;0;0;0;0
35918817;2;AF;2017;0;1;0;0;0
35918830;2;AI;2017;6,5;1;6,5139;240,68;217,62
35919007;2;AI;2017;6,9;0,997;6,9302;248,65;232,15
35920058;2;AI;2017;6,3;1;6,3456;230,21;219,35
35010273;2;AF;2019;4,9;1;4,8678;247,11;244,96
35010273;2;EM;2019;4,7;0,9943;4,7092;276,49;276,31
35010285;2;AF;2019;5,2;0,9915;5,2695;261,76;254,41
35010285;2;EM;2019;0;0,9909;0;0;0
35035403;2;AF;2019;5,8;0,9977;5,7662;272,34;273,63
35035403;2;EM;2019;4,3;0,9012;4,7202;276,59;276,95
35040708;2;AF;2019;5,7;1;5,69;269,63;271,77
35040708;2;EM;2019;5;0,9848;5,0869;291,14;287,8
35044878;2;AI;2019;0;0;0;0;0
35044878;2;AF;2019;4,8;0,9909;4,8392;242,71;247,64
35044878;2;EM;2019;4,9;0,9821;4,9965;280,82;291,44
35046536;2;AI;2019;7,2;1;7,1843;253,78;240,74
35046541;2;AI;2019;6,9;1;6,925;247,96;232,59
35049086;2;AI;2019;6,4;1;6,4358;237,51;216,65
35049086;2;AF;2019;5,2;0,9931;5,2487;264,81;250,11
35049086;2;EM;2019;0;0,9879;0;0;0
35107372;3;AI;2019;0;0;0;0;0
35206805;3;AI;2019;5,7;0,9824;5,8515;215,89;207,21
35277836;3;AI;2019;5,8;0,9851;5,8389;217,54;204,78
35277836;3;AF;2019;4,4;0,9647;4,5303;243,49;228,33
35277848;3;AI;2019;5,9;0,9959;5,9478;220,97;207,17
35277859;3;AI;2019;5,8;1;5,8457;218,48;204,17
35277861;3;AI;2019;0;0;0;0;0
35285754;3;AI;2019;5,3;0,9907;5,3993;204,98;193,79
35301413;3;AI;2019;6,3;0,9836;6,3984;234,61;217,64
35659137;3;AI;2019;5,5;0,9961;5,5635;213,03;194,37
35659137;3;AF;2019;0;0,9866;0;0;0
35664224;3;AI;2019;5,6;1;5,6407;210,14;201,65
35902160;2;AF;2019;5,1;1;5,1305;252,1;255,73
35902160;2;EM;2019;4,2;0,9908;4,2654;267,29;255,3
35904181;2;AF;2019;5;0,9769;5,1678;249,07;261
35904181;2;EM;2019;4,6;0,9692;4,779;280,61;277,11
35904193;2;AI;2019;0;0;0;0;0
35904193;2;AF;2019;4,9;0,9884;4,937;258,07;238,15
35912402;2;AI;2019;7;1;6,9776;247,82;235,63
35914782;2;AF;2019;5;0,9902;5,066;253,49;250,47
35914782;2;EM;2019;4,2;0,9366;4,4339;265,31;268,41
35914848;2;AI;2019;6;0,9939;5,9993;227,5;203,15
35914848;2;AF;2019;5,4;1;5,3917;261,36;262,14
35914848;2;EM;2019;4,8;1;4,8071;284,93;274,93
35917084;2;AI;2019;6,2;1;6,2154;232,07;210,24
35918672;2;AI;2019;0;0;0;0;0
35918672;2;AF;2019;0;0,9837;0;0;0
35918817;2;AI;2019;0;0;0;0;0
35918817;2;AF;2019;0;1;0;0;0
35918830;2;AI;2019;6,6;1;6,6008;240,61;222,47
35919007;2;AI;2019;7,2;1;7,1856;258,06;236,32
35920058;2;AI;2019;0;0;0;0;0
35010273;2;AF;2021;4,9;1;4,9393;251,24;245,12
35010273;2;EM;2021;0;1;0;0;0
35010285;2;AF;2021;0;1;0;0;0
35010285;2;EM;2021;0;0,998;0;0;0
35035403;2;AF;2021;5,2;1;5,2215;254,81;258,48
35035403;2;EM;2021;0;1;0;0;0
35040708;2;AF;2021;4,9;1;4,856;241,47;249,89
35040708;2;EM;2021;0;1;0;0;0
35044878;2;AI;2021;0;0;0;0;0
35044878;2;AF;2021;5;0,9937;5,0318;245,71;256,2
35044878;2;EM;2021;4;0,9893;4,0649;253,29;255,04
35046536;2;AI;2021;6,6;0,9962;6,6553;236,78;229,49
35046541;2;AI;2021;6,4;1;6,3901;234,06;217,76
35049086;2;AI;2021;5,5;0,9954;5,5233;211,62;193,64
35049086;2;AF;2021;5,6;1;5,6128;271,16;265,61
35049086;2;EM;2021;0;1;0;0;0
35107372;3;AI;2021;0;0;0;0;0
35206805;3;AI;2021;6,1;0,9959;6,1257;225,54;212,16
35277836;3;AI;2021;0;0,9884;0;0;0
35277836;3;AF;2021;0;0,984;0;0;0
35277848;3;AI;2021;5;0,9695;5,1721;195,37;191,38
35277859;3;AI;2021;5,4;1;5,4453;207,72;193,44
35277861;3;AI;2021;0;0;0;0;0
35285754;3;AI;2021;4,9;1;4,9454;191,99;182,46
35301413;3;AI;2021;6,5;1;6,5237;237,98;220,99
35659137;3;AI;2021;5,4;1;5,3539;201,92;194,5
35659137;3;AF;2021;0;1;0;0;0
35664224;3;AI;2021;5,1;0,9915;5,1346;199,07;185,43
35902160;2;AF;2021;5;1;5,0262;244,03;257,54
35902160;2;EM;2021;4,4;1;4,3939;268,26;262,97
35904181;2;AF;2021;4,9;0,9796;5,045;250,4;252,3
35904181;2;EM;2021;4;0,9654;4,1253;257,1;255,5
35904193;2;AI;2021;0;0;0;0;0
35904193;2;AF;2021;5,6;0,9941;5,6037;267,26;268,96
35912402;2;AI;2021;5,4;1;5,4017;203,13;195,86
35914782;2;AF;2021;5,2;0,9982;5,175;254,33;256,17
35914782;2;EM;2021;0;0,9697;0;0;0
35914848;2;AI;2021;5,3;1;5,3373;211,81;183,21
35914848;2;AF;2021;5;1;5,0305;263,08;238,75
35914848;2;EM;2021;4,5;0,9852;4,5566;270,7;271,55
35917084;2;AI;2021;5,8;1;5,8464;217,26;205,49
35918672;2;AI;2021;0;0;0;0;0
35918672;2;AF;2021;5,7;1;5,6773;272,34;268,3
35918817;2;AI;2021;0;0;0;0;0
35918817;2;AF;2021;6,2;1;6,161;285,36;284,3
35918830;2;AI;2021;5,7;1;5,7497;210,62;207,14
35919007;2;AI;2021;6;1;5,9846;221,65;208,48
35920058;2;AI;2021;0;0;0;0;0
