ibge_id;ano;ciclo_id;dependencia_id;lp_adequado;mt_adequado;lp_insuficiente;lp_basico;lp_proficiente;lp_avancado;mt_insuficiente;mt_basico;mt_proficiente;mt_avancado
3515103;2017;AF;2;0.3612;0.1519;0.1466;0.4922;0.292;0.0692;0.2648;0.5833;0.1309;0.021
3515103;2017;AF;3;0.3811;0.0863;0.0644;0.5545;0.3305;0.0506;0.3302;0.5835;0.0685;0.0179
3515103;2017;AF;5;0.3624;0.1478;0.1416;0.496;0.2944;0.0681;0.2688;0.5833;0.127;0.0208
3515103;2017;AI;2;0.7173;0.6622;0.0706;0.2121;0.3806;0.3367;0.0968;0.241;0.415;0.2472
3515103;2017;AI;3;0.5859;0.5081;0.0759;0.3382;0.3589;0.227;0.1759;0.3159;0.3673;0.1408
3515103;2017;AI;5;0.6767;0.6145;0.0722;0.2511;0.3739;0.3027;0.1213;0.2642;0.4002;0.2143
3515103;2017;EM;2;0.2575;0.0431;0.3619;0.3807;0.2507;0.0068;0.5854;0.3715;0.0397;0.0034
3515103;2017;EM;5;0.2575;0.0431;0.3619;0.3807;0.2507;0.0068;0.5854;0.3715;0.0397;0.0034
3515103;2019;AF;2;0.3679;0.2021;0.1518;0.4804;0.2818;0.0861;0.262;0.5359;0.1787;0.0234
3515103;2019;AF;3;0.2056;0.0552;0.2284;0.566;0.1859;0.0197;0.3327;0.6121;0.0552;0
3515103;2019;AF;5;0.3571;0.1924;0.1569;0.486;0.2755;0.0816;0.2667;0.5409;0.1705;0.0219
3515103;2019;AI;2;0.7235;0.6857;0.0266;0.2501;0.3684;0.3551;0.0627;0.2514;0.3798;0.3059
3515103;2019;AI;3;0.5425;0.4274;0.0674;0.3902;0.3631;0.1794;0.2085;0.3642;0.3484;0.079
3515103;2019;AI;5;0.657;0.5911;0.0415;0.3015;0.3664;0.2906;0.1161;0.2928;0.3683;0.2228
3515103;2019;EM;2;0.3482;0.06;0.2738;0.3779;0.3437;0.0045;0.4736;0.4664;0.059;0.001
3515103;2019;EM;3;0;0;0;0;0;0;0;0;0;0
3515103;2019;EM;5;0.3482;0.06;0.2738;0.3779;0.3437;0.0045;0.4736;0.4664;0.059;0.001
3515103;2021;AF;0;0.3902;0.192;0.1617;0.448;0.3033;0.0869;0.284;0.5241;0.1796;0.0124
3515103;2021;AF;2;0.3965;0.2;0.1616;0.4419;0.3078;0.0887;0.2809;0.5191;0.1867;0.0133
3515103;2021;AF;3;0.3061;0.0829;0.1628;0.5311;0.2439;0.0622;0.3262;0.5908;0.0829;0
3515103;2021;AF;5;0.3902;0.192;0.1617;0.448;0.3033;0.0869;0.284;0.5241;0.1796;0.0124
3515103;2021;AI;0;0.5376;0.4228;0.1498;0.3127;0.3353;0.2023;0.1584;0.4188;0.3159;0.1069
3515103;2021;AI;2;0.5806;0.4698;0.1302;0.2892;0.3512;0.2294;0.134;0.3962;0.3341;0.1357
3515103;2021;AI;3;0.4706;0.3494;0.1802;0.3493;0.3106;0.16;0.1964;0.4542;0.2874;0.062
3515103;2021;AI;5;0.5376;0.4228;0.1498;0.3127;0.3353;0.2023;0.1584;0.4188;0.3159;0.1069
3515103;2021;EM;0;0.2933;0.0488;0.3677;0.3391;0.2855;0.0078;0.5891;0.3621;0.0488;0
3515103;2021;EM;2;0.2933;0.0488;0.3677;0.3391;0.2855;0.0078;0.5891;0.3621;0.0488;0
3515103;2021;EM;5;0.2933;0.0488;0.3677;0.3391;0.2855;0.0078;0.5891;0.3621;0.0488;0
