inep_id;ano;dependencia_id;localizacao_id;serie_id;matriculas;aprovados;reprovados;abandonos;TIPO
35010273;2010;2;1;1;0;0;0;0;AF
35010273;2010;2;1;2;0;0;0;0;AF
35010273;2010;2;1;3;0;0;0;0;AF
35010273;2010;2;1;4;0;0;0;0;AF
35010273;2010;2;1;5;0;0;0;0;AF
35010273;2010;2;1;6;153;98;2;0;AF
35010273;2010;2;1;7;159;96.8;3.2;0;AF
35010273;2010;2;1;8;138;95.6;4.4;0;AF
35010273;2010;2;1;9;176;80.4;19.6;0;AF
35010273;2010;2;1;10;154;83.8;16.2;0;AF
35010273;2010;2;1;11;132;83.2;16.8;0;AF
35010273;2010;2;1;12;150;86.3;13.7;0;AF
35010285;2010;2;1;1;0;0;0;0;AF
35010285;2010;2;1;2;0;0;0;0;AF
35010285;2010;2;1;3;0;0;0;0;AF
35010285;2010;2;1;4;0;0;0;0;AF
35010285;2010;2;1;5;0;0;0;0;AF
35010285;2010;2;1;6;0;0;0;0;AF
35010285;2010;2;1;7;161;95.1;3.7;1.2;AF
35010285;2010;2;1;8;172;97.7;1.7;0.6;AF
35010285;2010;2;1;9;186;93.4;3.3;3.3;AF
35010285;2010;2;1;10;183;85.2;7.7;7.1;AF
35010285;2010;2;1;11;215;86;7.2;6.8;AF
35010285;2010;2;1;12;258;91;3.1;5.9;AF
35035403;2010;2;1;1;0;0;0;0;AF
35035403;2010;2;1;2;0;0;0;0;AF
35035403;2010;2;1;3;0;0;0;0;AF
35035403;2010;2;1;4;0;0;0;0;AF
35035403;2010;2;1;5;0;0;0;0;AF
35035403;2010;2;1;6;210;95.3;4.7;0;AF
35035403;2010;2;1;7;112;87.7;12.3;0;AF
35035403;2010;2;1;8;127;95.3;4.7;0;AF
35035403;2010;2;1;9;118;93;7;0;AF
35035403;2010;2;1;10;297;78.8;20.8;0.4;AF
35035403;2010;2;1;11;274;88.7;11.3;0;AF
35035403;2010;2;1;12;166;94.4;5.6;0;AF
35040708;2010;2;1;1;0;0;0;0;AF
35040708;2010;2;1;2;0;0;0;0;AF
35040708;2010;2;1;3;0;0;0;0;AF
35040708;2010;2;1;4;0;0;0;0;AF
35040708;2010;2;1;5;0;0;0;0;AF
35040708;2010;2;1;6;108;100;0;0;AF
35040708;2010;2;1;7;121;100;0;0;AF
35040708;2010;2;1;8;80;98.7;1.3;0;AF
35040708;2010;2;1;9;80;98.7;1.3;0;AF
35040708;2010;2;1;10;78;93.7;6.3;0;AF
35040708;2010;2;1;11;67;100;0;0;AF
35040708;2010;2;1;12;63;100;0;0;AF
35044878;2010;2;1;1;20;100;0;0;AF
35044878;2010;2;1;2;27;100;0;0;AF
35044878;2010;2;1;3;33;100;0;0;AF
35044878;2010;2;1;4;35;100;0;0;AF
35044878;2010;2;1;5;47;95.7;4.3;0;AF
35044878;2010;2;1;6;89;98.9;1.1;0;AF
35044878;2010;2;1;7;70;100;0;0;AF
35044878;2010;2;1;8;66;98.5;1.5;0;AF
35044878;2010;2;1;9;78;98.6;1.4;0;AF
35044878;2010;2;1;10;61;93.1;6.9;0;AF
35044878;2010;2;1;11;49;93.3;6.7;0;AF
35044878;2010;2;1;12;33;100;0;0;AF
35046536;2010;2;1;1;87;100;0;0;AF
35046536;2010;2;1;2;101;100;0;0;AF
35046536;2010;2;1;3;125;100;0;0;AF
35046536;2010;2;1;4;134;100;0;0;AF
35046536;2010;2;1;5;137;100;0;0;AF
35046536;2010;2;1;6;0;0;0;0;AF
35046536;2010;2;1;7;0;0;0;0;AF
35046536;2010;2;1;8;0;0;0;0;AF
35046536;2010;2;1;9;0;0;0;0;AF
35046536;2010;2;1;10;0;0;0;0;AF
35046536;2010;2;1;11;0;0;0;0;AF
35046536;2010;2;1;12;0;0;0;0;AF
35046541;2010;2;1;1;129;100;0;0;AF
35046541;2010;2;1;2;90;100;0;0;AF
35046541;2010;2;1;3;139;100;0;0;AF
35046541;2010;2;1;4;211;100;0;0;AF
35046541;2010;2;1;5;192;99.5;0.5;0;AF
35046541;2010;2;1;6;0;0;0;0;AF
35046541;2010;2;1;7;0;0;0;0;AF
35046541;2010;2;1;8;0;0;0;0;AF
35046541;2010;2;1;9;0;0;0;0;AF
35046541;2010;2;1;10;0;0;0;0;AF
35046541;2010;2;1;11;0;0;0;0;AF
35046541;2010;2;1;12;0;0;0;0;AF
35049086;2010;2;1;1;0;0;0;0;AF
35049086;2010;2;1;2;47;100;0;0;AF
35049086;2010;2;1;3;46;97.6;2.4;0;AF
35049086;2010;2;1;4;54;100;0;0;AF
35049086;2010;2;1;5;58;98.3;1.7;0;AF
35049086;2010;2;1;6;101;94.9;5.1;0;AF
35049086;2010;2;1;7;130;95.9;4.1;0;AF
35049086;2010;2;1;8;93;95.5;4.5;0;AF
35049086;2010;2;1;9;73;91.5;8.5;0;AF
35049086;2010;2;1;10;78;94.7;5.3;0;AF
35049086;2010;2;1;11;39;100;0;0;AF
35049086;2010;2;1;12;16;100;0;0;AF
35107372;2010;3;1;1;35;94.3;0;5.7;AF
35107372;2010;3;1;2;44;100;0;0;AF
35107372;2010;3;1;3;0;0;0;0;AF
35107372;2010;3;1;4;0;0;0;0;AF
35107372;2010;3;1;5;0;0;0;0;AF
35107372;2010;3;1;6;0;0;0;0;AF
35107372;2010;3;1;7;0;0;0;0;AF
35107372;2010;3;1;8;0;0;0;0;AF
35107372;2010;3;1;9;0;0;0;0;AF
35107372;2010;3;1;10;0;0;0;0;AF
35107372;2010;3;1;11;0;0;0;0;AF
35107372;2010;3;1;12;0;0;0;0;AF
35121551;2010;4;1;1;13;100;0;0;AF
35121551;2010;4;1;2;13;100;0;0;AF
35121551;2010;4;1;3;13;100;0;0;AF
35121551;2010;4;1;4;15;100;0;0;AF
35121551;2010;4;1;5;22;100;0;0;AF
35121551;2010;4;1;6;26;100;0;0;AF
35121551;2010;4;1;7;30;96.7;3.3;0;AF
35121551;2010;4;1;8;29;89.7;10.3;0;AF
35121551;2010;4;1;9;26;95.7;4.3;0;AF
35121551;2010;4;1;10;27;85.2;14.8;0;AF
35121551;2010;4;1;11;22;100;0;0;AF
35121551;2010;4;1;12;9;100;0;0;AF
35125349;2010;4;1;1;22;100;0;0;AF
35125349;2010;4;1;2;20;95;5;0;AF
35125349;2010;4;1;3;11;90.9;9.1;0;AF
35125349;2010;4;1;4;15;100;0;0;AF
35125349;2010;4;1;5;13;100;0;0;AF
35125349;2010;4;1;6;23;100;0;0;AF
35125349;2010;4;1;7;22;95.5;4.5;0;AF
35125349;2010;4;1;8;27;100;0;0;AF
35125349;2010;4;1;9;25;100;0;0;AF
35125349;2010;4;1;10;22;100;0;0;AF
35125349;2010;4;1;11;18;100;0;0;AF
35125349;2010;4;1;12;21;100;0;0;AF
