ibge_id;ano;dependencia_id;localizacao_id;serie_id;matriculas;aprovados;reprovados;abandonos;TIPO
3515103;2010;2;1;9;1296;91,5;6,9;1,6;AF
3515103;2010;3;1;9;0;0;0;0;AF
3515103;2010;4;1;9;104;97;3;0;AF
3515103;2010;5;1;9;1296;91,5;6,9;1,6;AF
3515103;2010;0;1;9;1400;91,9;6,6;1,5;AF
3515103;2010;3;2;9;0;0;0;0;AF
3515103;2010;4;2;9;52;100;0;0;AF
3515103;2010;5;2;9;0;0;0;0;AF
3515103;2010;0;2;9;52;100;0;0;AF
3515103;2010;2;0;8;1168;96,4;3,5;0,1;AF
3515103;2010;3;0;8;97;95,7;0;4,3;AF
3515103;2010;4;0;8;158;96,2;3,8;0;AF
3515103;2010;5;0;8;1265;96,3;3,3;0,4;AF
3515103;2010;0;0;8;1423;96,3;3,3;0,4;AF
3515103;2010;2;1;8;1168;96,4;3,5;0,1;AF
3515103;2010;3;1;8;97;95,7;0;4,3;AF
3515103;2010;4;1;8;102;97,1;2,9;0;AF
3515103;2010;5;1;8;1265;96,3;3,3;0,4;AF
3515103;2010;0;1;8;1367;96,4;3,2;0,4;AF
3515103;2010;3;2;8;0;0;0;0;AF
3515103;2010;4;2;8;56;94,6;5,4;0;AF
3515103;2010;5;2;8;0;0;0;0;AF
3515103;2010;0;2;8;56;94,6;5,4;0;AF
3515103;2010;2;0;6;1179;97,9;2;0,1;AF
3515103;2010;3;0;6;99;100;0;0;AF
3515103;2010;4;0;6;167;98,8;1,2;0;AF
3515103;2010;5;0;6;1278;98;1,8;0,2;AF
3515103;2010;0;0;6;1445;98,1;1,7;0,2;AF
3515103;2010;2;1;6;1179;97,9;2;0,1;AF
3515103;2010;3;1;6;99;100;0;0;AF
3515103;2010;4;1;6;104;99;1;0;AF
3515103;2010;5;1;6;1278;98;1,8;0,2;AF
3515103;2010;0;1;6;1382;98,1;1,7;0,2;AF
3515103;2010;3;2;6;0;0;0;0;AF
3515103;2010;4;2;6;63;98,4;1,6;0;AF
3515103;2010;5;2;6;0;0;0;0;AF
3515103;2010;0;2;6;63;98,4;1,6;0;AF
3515103;2010;2;0;9;1296;91,5;6,9;1,6;AF
3515103;2010;3;0;9;0;0;0;0;AF
3515103;2010;4;0;9;156;98;2;0;AF
3515103;2010;5;0;9;1296;91,5;6,9;1,6;AF
3515103;2010;0;0;9;1452;92,2;6,4;1,4;AF
3515103;2010;2;0;7;1226;96,6;3,2;0,2;AF
3515103;2010;3;0;7;122;88,4;7,4;4,2;AF
3515103;2010;4;0;7;137;94,9;5,1;0;AF
3515103;2010;5;0;7;1348;95,9;3,6;0,5;AF
3515103;2010;0;0;7;1485;95,8;3,8;0,4;AF
3515103;2010;2;1;7;1226;96,6;3,2;0,2;AF
3515103;2010;3;1;7;122;88,4;7,4;4,2;AF
3515103;2010;4;1;7;101;96,1;3,9;0;AF
3515103;2010;5;1;7;1348;95,9;3,6;0,5;AF
3515103;2010;0;1;7;1449;95,9;3,6;0,5;AF
3515103;2010;3;2;7;0;0;0;0;AF
3515103;2010;4;2;7;36;91,4;8,6;0;AF
3515103;2010;5;2;7;0;0;0;0;AF
3515103;2010;0;2;7;36;91,4;8,6;0;AF
3515103;2010;2;1;3;698;99,7;0,3;0;AI
3515103;2010;3;1;3;384;91,8;7,9;0,3;AI
3515103;2010;4;1;3;57;98,2;1,8;0;AI
3515103;2010;5;1;3;1082;96,9;3,1;0;AI
3515103;2010;0;1;3;1139;96,9;3;0,1;AI
3515103;2010;3;2;3;30;100;0;0;AI
3515103;2010;4;2;3;93;95,7;4,3;0;AI
3515103;2010;5;2;3;30;100;0;0;AI
3515103;2010;0;2;3;123;96,7;3,3;0;AI
3515103;2010;2;0;2;563;99,6;0,4;0;AI
3515103;2010;3;0;2;434;99,3;0;0,7;AI
3515103;2010;4;0;2;169;93,4;6,6;0;AI
3515103;2010;5;0;2;997;99,5;0,2;0,3;AI
3515103;2010;0;0;2;1166;98,6;1,1;0,3;AI
3515103;2010;2;1;2;563;99,6;0,4;0;AI
3515103;2010;3;1;2;387;99,2;0;0,8;AI
3515103;2010;4;1;2;79;96,2;3,8;0;AI
3515103;2010;5;1;2;950;99,5;0,2;0,3;AI
3515103;2010;0;1;2;1029;99,2;0,5;0,3;AI
3515103;2010;3;2;2;47;100;0;0;AI
3515103;2010;4;2;2;90;91;9;0;AI
3515103;2010;5;2;2;47;100;0;0;AI
3515103;2010;0;2;2;137;94;6;0;AI
3515103;2010;2;0;1;325;100;0;0;AI
